Type,ID,Metric,Value
Cloudlet,0,StartTime,0.10
Cloudlet,0,FinishTime,12.60
Cloudlet,0,ExecutionTime,12.50
Cloudlet,0,Status,Success
Cloudlet,1,StartTime,0.10
Cloudlet,1,FinishTime,25.10
Cloudlet,1,ExecutionTime,25.00
Cloudlet,1,Status,Success
Cloudlet,3,StartTime,0.10
Cloudlet,3,FinishTime,31.35
Cloudlet,3,ExecutionTime,31.25
Cloudlet,3,Status,Success
Cloudlet,2,StartTime,0.10
Cloudlet,2,FinishTime,37.60
Cloudlet,2,ExecutionTime,37.50
Cloudlet,2,Status,Success
Cloudlet,4,StartTime,0.10
Cloudlet,4,FinishTime,43.85
Cloudlet,4,ExecutionTime,43.75
Cloudlet,4,Status,Success
Cloudlet,5,StartTime,0.10
Cloudlet,5,FinishTime,56.35
Cloudlet,5,ExecutionTime,56.25
Cloudlet,5,Status,Success
VM,0,Host,-1
VM,1,Host,-1
VM,2,Host,-1
Host,0,CPUUtilization,0.00
Host,0,EnergyConsumed,150.00
Host,0,VMsCount,0
Host,1,CPUUtilization,0.00
Host,1,EnergyConsumed,150.00
Host,1,VMsCount,0
Host,2,CPUUtilization,0.00
Host,2,EnergyConsumed,150.00
Host,2,VMsCount,0
